FET Vds-Id
VG= 0 to 2 in 0.02 step
VDS= 0.05 to 0.5 in 0.45 step
NO. VG VDS ID IG VSUB
 V V A A V
252 0.98 0.5 5.3132E-10 3.05E-12 0
253 1 0.5 1.10284E-09 1.23E-12 0
254 1.02 0.5 2.28998E-09 7.33E-12 0
255 1.04 0.5 4.72839E-09 3.11E-12 0
256 1.06 0.5 9.67859E-09 3.3E-12 0
257 1.08 0.5 1.93226E-08 2.5E-12 0
258 1.1 0.5 3.8235E-08 3.92E-12 0
259 1.12 0.5 7.32958E-08 5.09E-12 0
260 1.14 0.5 1.34772E-07 3.87E-12 0
261 1.16 0.5 2.37572E-07 3.79E-12 0
262 1.18 0.5 3.98438E-07 2.1E-12 0
263 1.2 0.5 6.33341E-07 7.14E-12 0
264 1.22 0.5 9.56438E-07 3.02E-12 0
265 1.24 0.5 1.3733E-06 2.42E-12 0
266 1.26 0.5 1.90322E-06 3.83E-12 0
267 1.28 0.5 2.54503E-06 4.48E-12 0
268 1.3 0.5 3.2993E-06 3.93E-12 0
269 1.32 0.5 4.17444E-06 4.57E-12 0
270 1.34 0.5 5.1693E-06 3.15E-12 0
271 1.36 0.5 6.28322E-06 5.05E-12 0
272 1.38 0.5 7.51224E-06 2.48E-12 0
273 1.4 0.5 8.86505E-06 4.08E-12 0
274 1.42 0.5 1.033647E-05 3.17E-12 0
275 1.44 0.5 1.19196E-05 2.23E-12 0
276 1.46 0.5 1.36236E-05 4.78E-12 0
277 1.48 0.5 1.54496E-05 5.2E-12 0
278 1.5 0.5 1.73926E-05 6.45E-12 0
279 1.52 0.5 1.94492E-05 1.86E-12 0
280 1.54 0.5 2.16103E-05 8.63E-12 0
281 1.56 0.5 2.38874E-05 5.02E-12 0
282 1.58 0.5 2.62691E-05 5.02E-12 0
283 1.6 0.5 2.87448E-05 3.14E-12 0
284 1.62 0.5 3.12958E-05 6.06E-12 0
285 1.64 0.5 3.39272E-05 4.09E-12 0
286 1.66 0.5 3.66174E-05 5.1E-12 0
287 1.68 0.5 3.93391E-05 3.49E-12 0
288 1.7 0.5 4.21009E-05 6.25E-12 0
289 1.72 0.5 4.48822E-05 4.69E-12 0
290 1.74 0.5 4.76715E-05 4.73E-12 0
291 1.76 0.5 5.04516E-05 3.74E-12 0
292 1.78 0.5 5.32368E-05 7.56E-12 0
293 1.8 0.5 5.60119E-05 4.11E-12 0
294 1.82 0.5 5.87719E-05 5.36E-12 0
295 1.84 0.5 6.14985E-05 5.49E-12 0
296 1.86 0.5 6.42155E-05 8.13E-12 0
297 1.88 0.5 6.69054E-05 3.55E-12 0
298 1.9 0.5 6.95645E-05 7.02E-12 0
299 1.92 0.5 7.21761E-05 6.91E-12 0
300 1.94 0.5 7.4768E-05 8.05E-12 0
301 1.96 0.5 7.73195E-05 5.06E-12 0
302 1.98 0.5 7.98289E-05 9.31E-12 0
