FET Vds-Id
VDS= 0 to -2 in -0.05 step
VG= 0 to -2 in -0.5 step
NO. VG VDS VS ID IS IG ISUB VSUB
 V V V A A A A V
181 -1 -0.8 0 -4.8085E-07 4.80882E-07 -6E-13 6.1E-13 0
182 -1 -0.85 0 -4.81567E-07 4.81586E-07 -5.9E-13 5.9E-13 0
183 -1 -0.9 0 -4.82199E-07 4.82222E-07 -7.3E-13 6E-13 0
184 -1 -0.95 0 -4.82832E-07 4.82883E-07 -6.8E-13 5.9E-13 0
185 -1 -1 0 -4.83464E-07 4.83482E-07 -6.2E-13 6.3E-13 0
186 -1 -1.05 0 -4.84121E-07 4.84134E-07 -5.8E-13 6.3E-13 0
187 -1 -1.1 0 -4.84709E-07 4.84729E-07 -5.8E-13 6.5E-13 0
188 -1 -1.15 0 -4.8525E-07 4.85285E-07 -7.5E-13 5.6E-13 0
189 -1 -1.2 0 -4.85784E-07 4.85803E-07 -4.9E-13 6.7E-13 0
190 -1 -1.25 0 -4.86333E-07 4.86371E-07 -5.7E-13 7.6E-13 0
191 -1 -1.3 0 -4.8689E-07 4.86913E-07 -2.2E-13 7.2E-13 0
192 -1 -1.35 0 -4.87452E-07 4.87445E-07 -3.8E-13 7.2E-13 0
193 -1 -1.4 0 -4.87933E-07 4.87967E-07 -3.7E-13 7.1E-13 0
194 -1 -1.45 0 -4.88398E-07 4.88493E-07 -4.9E-13 6.9E-13 0
195 -1 -1.5 0 -4.88907E-07 4.8898E-07 -4.2E-13 7.8E-13 0
196 -1 -1.55 0 -4.89466E-07 4.89472E-07 -4.6E-13 7.7E-13 0
197 -1 -1.6 0 -4.89952E-07 4.89918E-07 -5.4E-13 8.3E-13 0
198 -1 -1.65 0 -4.90374E-07 4.90423E-07 -3.9E-13 8.7E-13 0
199 -1 -1.7 0 -4.90799E-07 4.90817E-07 -4.3E-13 8.7E-13 0
200 -1 -1.75 0 -4.91213E-07 4.91233E-07 -4.3E-13 8.8E-13 0
201 -1 -1.8 0 -4.91685E-07 4.91726E-07 -4.4E-13 9.4E-13 0
202 -1 -1.85 0 -4.92128E-07 4.92159E-07 -3.1E-13 9.7E-13 0
203 -1 -1.9 0 -4.92549E-07 4.92556E-07 -5.2E-13 1.03E-12 0
204 -1 -1.95 0 -4.92991E-07 4.93019E-07 -3.8E-13 1.11E-12 0
205 -1 -2 0 -4.9345E-07 4.93528E-07 -4.8E-13 1.27E-12 0
206 -1 -2 0 -4.93453E-07 4.93506E-07 -1.3E-13 1.24E-12 0
207 -1 -1.95 0 -4.93127E-07 4.93134E-07 -6.8E-13 1.09E-12 0
208 -1 -1.9 0 -4.92742E-07 4.92785E-07 -3.8E-13 1.07E-12 0
209 -1 -1.85 0 -4.92322E-07 4.92356E-07 -5.1E-13 1E-12 0
210 -1 -1.8 0 -4.91835E-07 4.91904E-07 -1.1E-13 9.2E-13 0
211 -1 -1.75 0 -4.91444E-07 4.91479E-07 -6.8E-13 9E-13 0
212 -1 -1.7 0 -4.90966E-07 4.91056E-07 -2E-14 8.9E-13 0
213 -1 -1.65 0 -4.90568E-07 4.90603E-07 -6.1E-13 7.9E-13 0
214 -1 -1.6 0 -4.90134E-07 4.90148E-07 7E-14 7.8E-13 0
215 -1 -1.55 0 -4.89635E-07 4.89663E-07 -7.3E-13 7.9E-13 0
216 -1 -1.5 0 -4.89156E-07 4.89171E-07 4E-14 8E-13 0
217 -1 -1.45 0 -4.88717E-07 4.8871E-07 -7E-13 7.5E-13 0
218 -1 -1.4 0 -4.88229E-07 4.88218E-07 -3E-14 7.4E-13 0
219 -1 -1.35 0 -4.87729E-07 4.87764E-07 -7.5E-13 7.2E-13 0
